source_table,resource_type,resource_id,resource_name,driver_id,vehicle_class,transmission,skill_or_requirement,schedule_note,slot_index,slot_start_min,slot_end_min,slot_start,slot_end,raw_value,is_available
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,0,0,5,00:00,00:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,1,5,10,00:05,00:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,2,10,15,00:10,00:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,3,15,20,00:15,00:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,4,20,25,00:20,00:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,5,25,30,00:25,00:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,6,30,35,00:30,00:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,7,35,40,00:35,00:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,8,40,45,00:40,00:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,9,45,50,00:45,00:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,10,50,55,00:50,00:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,11,55,60,00:55,01:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,12,60,65,01:00,01:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,13,65,70,01:05,01:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,14,70,75,01:10,01:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,15,75,80,01:15,01:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,16,80,85,01:20,01:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,17,85,90,01:25,01:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,18,90,95,01:30,01:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,19,95,100,01:35,01:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,20,100,105,01:40,01:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,21,105,110,01:45,01:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,22,110,115,01:50,01:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,23,115,120,01:55,02:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,24,120,125,02:00,02:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,25,125,130,02:05,02:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,26,130,135,02:10,02:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,27,135,140,02:15,02:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,28,140,145,02:20,02:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,29,145,150,02:25,02:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,30,150,155,02:30,02:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,31,155,160,02:35,02:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,32,160,165,02:40,02:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,33,165,170,02:45,02:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,34,170,175,02:50,02:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,35,175,180,02:55,03:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,36,180,185,03:00,03:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,37,185,190,03:05,03:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,38,190,195,03:10,03:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,39,195,200,03:15,03:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,40,200,205,03:20,03:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,41,205,210,03:25,03:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,42,210,215,03:30,03:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,43,215,220,03:35,03:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,44,220,225,03:40,03:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,45,225,230,03:45,03:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,46,230,235,03:50,03:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,47,235,240,03:55,04:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,48,240,245,04:00,04:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,49,245,250,04:05,04:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,50,250,255,04:10,04:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,51,255,260,04:15,04:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,52,260,265,04:20,04:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,53,265,270,04:25,04:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,54,270,275,04:30,04:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,55,275,280,04:35,04:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,56,280,285,04:40,04:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,57,285,290,04:45,04:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,58,290,295,04:50,04:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,59,295,300,04:55,05:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,60,300,305,05:00,05:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,61,305,310,05:05,05:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,62,310,315,05:10,05:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,63,315,320,05:15,05:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,64,320,325,05:20,05:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,65,325,330,05:25,05:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,66,330,335,05:30,05:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,67,335,340,05:35,05:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,68,340,345,05:40,05:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,69,345,350,05:45,05:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,70,350,355,05:50,05:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,71,355,360,05:55,06:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,72,360,365,06:00,06:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,73,365,370,06:05,06:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,74,370,375,06:10,06:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,75,375,380,06:15,06:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,76,380,385,06:20,06:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,77,385,390,06:25,06:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,78,390,395,06:30,06:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,79,395,400,06:35,06:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,80,400,405,06:40,06:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,81,405,410,06:45,06:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,82,410,415,06:50,06:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,83,415,420,06:55,07:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,84,420,425,07:00,07:05,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,85,425,430,07:05,07:10,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,86,430,435,07:10,07:15,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,87,435,440,07:15,07:20,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,88,440,445,07:20,07:25,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,89,445,450,07:25,07:30,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,90,450,455,07:30,07:35,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,91,455,460,07:35,07:40,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,92,460,465,07:40,07:45,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,93,465,470,07:45,07:50,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,94,470,475,07:50,07:55,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,95,475,480,07:55,08:00,T,True
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,96,480,485,08:00,08:05,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,97,485,490,08:05,08:10,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,98,490,495,08:10,08:15,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,99,495,500,08:15,08:20,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,100,500,505,08:20,08:25,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,101,505,510,08:25,08:30,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,102,510,515,08:30,08:35,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,103,515,520,08:35,08:40,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,104,520,525,08:40,08:45,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,105,525,530,08:45,08:50,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,106,530,535,08:50,08:55,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,107,535,540,08:55,09:00,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,108,540,545,09:00,09:05,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,109,545,550,09:05,09:10,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,110,550,555,09:10,09:15,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,111,555,560,09:15,09:20,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,112,560,565,09:20,09:25,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,113,565,570,09:25,09:30,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,114,570,575,09:30,09:35,F,False
driver_availability,driver,박빈정,박빈정,DRV_001,,,111,,115,575,580,09:35,09:40,F,False
